"","Family_Income","Degree"
"1",25926,"Bachelor"
"2",33333,"Lt High School"
"3",33333,"High School"
"4",41667,"Bachelor"
"5",69444,"High School"
"6",60185,"High School"
"7",50926,"High School"
"8",18519,"Bachelor"
"9",3704,"High School"
"10",25926,"High School"
"11",18519,"High School"
"12",18519,"Lt High School"
"13",18519,"Lt High School"
"14",18519,"Lt High School"
"15",25926,"Lt High School"
"16",18519,"High School"
"17",33333,"High School"
"18",25926,"Lt High School"
"19",60185,"Bachelor"
"20",69444,"High School"
"21",50926,"High School"
"22",83333,"High School"
"23",18519,"High School"
"24",25926,"High School"
"25",41667,"Bachelor"
"26",41667,"High School"
"27",41667,"High School"
"28",41667,"High School"
"30",41667,"Lt High School"
"31",33333,"Lt High School"
"32",33333,"High School"
"33",41667,"Bachelor"
"34",3704,"Lt High School"
"35",18519,"High School"
"36",41667,"High School"
"37",69444,"High School"
"38",41667,"Lt High School"
"39",25926,"Lt High School"
"40",18519,"High School"
"41",3704,"Lt High School"
"42",41667,"High School"
"43",18519,"Lt High School"
"44",25926,"Lt High School"
"45",101852,"Lt High School"
"47",83333,"High School"
"48",25926,"High School"
"49",41667,"Lt High School"
"50",83333,"Lt High School"
"51",18519,"Lt High School"
"52",41667,"High School"
"53",25926,"Lt High School"
"54",41667,"High School"
"55",60185,"Lt High School"
"56",50926,"High School"
"57",83333,"High School"
"58",50926,"High School"
"59",50926,"High School"
"60",83333,"Lt High School"
"61",18519,"High School"
"62",18519,"Lt High School"
"63",18519,"High School"
"64",18519,"Lt High School"
"65",41667,"High School"
"66",33333,"Lt High School"
"67",41667,"High School"
"69",41667,"High School"
"70",25926,"Bachelor"
"72",33333,"High School"
"73",11111,"Lt High School"
"74",33333,"Lt High School"
"75",60185,"High School"
"76",50926,"Bachelor"
"77",60185,"Lt High School"
"78",33333,"Lt High School"
"79",101852,"High School"
"80",41667,"High School"
"82",60185,"High School"
"83",60185,"High School"
"85",11111,"High School"
"86",41667,"Bachelor"
"87",25926,"Graduate"
"88",18519,"Graduate"
"89",25926,"Bachelor"
"90",3704,"High School"
"91",41667,"Bachelor"
"92",41667,"High School"
"93",50926,"High School"
"94",50926,"High School"
"95",41667,"Bachelor"
"96",60185,"High School"
"97",101852,"High School"
"98",33333,"High School"
"99",60185,"High School"
"100",41667,"High School"
"101",33333,"Lt High School"
"102",25926,"High School"
"103",11111,"High School"
"104",83333,"High School"
"105",60185,"High School"
"106",11111,"Lt High School"
"107",25926,"High School"
"108",11111,"High School"
"109",11111,"Bachelor"
"110",3704,"High School"
"111",18519,"Lt High School"
"112",3704,"High School"
"113",11111,"Lt High School"
"114",33333,"Lt High School"
"115",41667,"High School"
"116",3704,"High School"
"117",11111,"Lt High School"
"118",11111,"Lt High School"
"119",18519,"Lt High School"
"120",11111,"High School"
"121",11111,"Lt High School"
"122",33333,"Lt High School"
"123",18519,"Lt High School"
"124",18519,"Lt High School"
"125",69444,"Lt High School"
"126",50926,"Lt High School"
"129",25926,"Lt High School"
"130",50926,"High School"
"131",25926,"Lt High School"
"132",69444,"High School"
"133",83333,"High School"
"134",25926,"Lt High School"
"135",41667,"Lt High School"
"136",41667,"Lt High School"
"137",33333,"High School"
"138",25926,"Lt High School"
"139",18519,"Lt High School"
"140",3704,"High School"
"141",41667,"High School"
"142",3704,"High School"
"143",33333,"High School"
"144",11111,"Lt High School"
"145",3704,"Lt High School"
"146",18519,"Bachelor"
"147",18519,"High School"
"148",3704,"Lt High School"
"149",25926,"Lt High School"
"150",41667,"High School"
"151",83333,"High School"
"152",41667,"High School"
"153",18519,"Lt High School"
"154",33333,"Lt High School"
"155",11111,"High School"
"156",41667,"High School"
"157",18519,"Lt High School"
"158",33333,"High School"
"159",33333,"High School"
"160",18519,"Lt High School"
"161",50926,"High School"
"162",18519,"Lt High School"
"163",60185,"Lt High School"
"164",41667,"Lt High School"
"165",33333,"Graduate"
"166",50926,"Bachelor"
"167",18519,"Bachelor"
"168",25926,"High School"
"169",25926,"High School"
"170",41667,"High School"
"171",33333,"Lt High School"
"172",60185,"High School"
"173",3704,"Lt High School"
"174",18519,"Lt High School"
"175",41667,"Graduate"
"176",50926,"Bachelor"
"177",25926,"High School"
"178",25926,"Lt High School"
"179",11111,"Bachelor"
"180",11111,"High School"
"181",25926,"Lt High School"
"182",11111,"High School"
"183",3704,"Lt High School"
"184",18519,"Lt High School"
"185",25926,"Lt High School"
"186",18519,"Lt High School"
"187",18519,"Lt High School"
"188",130356,"High School"
"189",130356,"Bachelor"
"190",130356,"Graduate"
"191",69444,"High School"
"192",69444,"Graduate"
"193",83333,"Bachelor"
"194",69444,"High School"
"196",41667,"High School"
"197",60185,"Lt High School"
"198",60185,"High School"
"199",41667,"High School"
"200",33333,"High School"
"201",18519,"High School"
"202",41667,"Junior College"
"203",60185,"High School"
"204",101852,"Lt High School"
"205",33333,"Lt High School"
"206",25926,"Lt High School"
"207",11111,"Lt High School"
"208",41667,"Lt High School"
"209",101852,"High School"
"210",41667,"Lt High School"
"211",33333,"High School"
"212",33333,"Lt High School"
"214",11111,"Lt High School"
"215",11111,"Lt High School"
"216",33333,"High School"
"217",11111,"High School"
"218",3704,"Lt High School"
"219",11111,"Lt High School"
"220",11111,"Lt High School"
"221",18519,"Lt High School"
"223",83333,"Graduate"
"225",50926,"High School"
"227",83333,"High School"
"228",83333,"Lt High School"
"229",60185,"High School"
"230",25926,"Lt High School"
"231",33333,"Bachelor"
"232",41667,"High School"
"233",3704,"High School"
"234",50926,"High School"
"235",18519,"High School"
"236",3704,"High School"
"237",50926,"Lt High School"
"238",25926,"High School"
"239",18519,"Lt High School"
"240",3704,"Lt High School"
"241",3704,"Lt High School"
"243",3704,"Lt High School"
"244",18519,"Lt High School"
"245",130356,"Graduate"
"246",11111,"Lt High School"
"248",83333,"High School"
"249",60185,"High School"
"250",18519,"High School"
"251",25926,"High School"
"252",41667,"Lt High School"
"253",33333,"High School"
"254",25926,"High School"
"256",60185,"High School"
"257",41667,"High School"
"258",69444,"Bachelor"
"259",41667,"High School"
"260",25926,"Lt High School"
"261",3704,"Lt High School"
"262",33333,"High School"
"264",3704,"Lt High School"
"265",18519,"High School"
"266",41667,"High School"
"267",41667,"High School"
"268",18519,"High School"
"269",33333,"Lt High School"
"270",3704,"Lt High School"
"272",50926,"Lt High School"
"273",41667,"High School"
"274",50926,"High School"
"275",69444,"Bachelor"
"276",101852,"High School"
"277",60185,"High School"
"278",41667,"High School"
"279",33333,"Lt High School"
"280",25926,"High School"
"281",18519,"Lt High School"
"282",33333,"Lt High School"
"283",50926,"High School"
"284",83333,"High School"
"285",11111,"High School"
"286",41667,"Lt High School"
"287",41667,"Lt High School"
"288",25926,"High School"
"289",3704,"Lt High School"
"290",69444,"Graduate"
"291",33333,"Lt High School"
"292",33333,"High School"
"293",41667,"Lt High School"
"294",50926,"High School"
"295",41667,"High School"
"296",25926,"High School"
"298",11111,"Lt High School"
"299",11111,"High School"
"301",11111,"High School"
"303",33333,"High School"
"304",33333,"High School"
"305",33333,"Lt High School"
"306",18519,"High School"
"307",33333,"Lt High School"
"308",3704,"Lt High School"
"309",18519,"High School"
"310",11111,"Lt High School"
"311",33333,"High School"
"312",11111,"High School"
"313",11111,"High School"
"315",11111,"Lt High School"
"317",41667,"Lt High School"
"318",33333,"Bachelor"
"319",11111,"Lt High School"
"320",69444,"High School"
"321",50926,"Lt High School"
"322",69444,"Graduate"
"323",69444,"High School"
"324",11111,"Lt High School"
"325",69444,"High School"
"326",69444,"High School"
"327",69444,"Graduate"
"328",83333,"Bachelor"
"329",50926,"High School"
"330",50926,"High School"
"331",25926,"High School"
"332",50926,"High School"
"333",33333,"Lt High School"
"334",50926,"Bachelor"
"335",25926,"Bachelor"
"336",50926,"Lt High School"
"337",41667,"Lt High School"
"338",11111,"Lt High School"
"339",69444,"Lt High School"
"340",3704,"Lt High School"
"341",18519,"Lt High School"
"342",18519,"Lt High School"
"343",11111,"Lt High School"
"344",25926,"Lt High School"
"345",3704,"Lt High School"
"346",3704,"Lt High School"
"348",41667,"Lt High School"
"349",41667,"Lt High School"
"350",18519,"High School"
"351",25926,"Bachelor"
"352",33333,"High School"
"353",60185,"High School"
"354",18519,"High School"
"355",18519,"Lt High School"
"356",18519,"Lt High School"
"357",18519,"Lt High School"
"358",11111,"Lt High School"
"359",18519,"Lt High School"
"360",11111,"Lt High School"
"361",11111,"Lt High School"
"362",11111,"Lt High School"
"363",18519,"High School"
"364",18519,"High School"
"365",3704,"High School"
"366",18519,"Lt High School"
"367",33333,"Lt High School"
"368",11111,"Lt High School"
"369",50926,"Lt High School"
"370",3704,"Lt High School"
"371",41667,"High School"
"372",41667,"High School"
"373",3704,"Lt High School"
"374",33333,"High School"
"375",11111,"Lt High School"
"376",41667,"Lt High School"
"377",33333,"High School"
"379",33333,"High School"
"381",50926,"Lt High School"
"382",25926,"Lt High School"
"383",69444,"Graduate"
"384",18519,"High School"
"385",33333,"High School"
"386",41667,"Lt High School"
"388",60185,"High School"
"389",69444,"Lt High School"
"390",50926,"High School"
"391",3704,"High School"
"392",3704,"Lt High School"
"393",3704,"Lt High School"
"394",3704,"High School"
"395",18519,"Bachelor"
"396",3704,"Lt High School"
"397",3704,"Lt High School"
"398",11111,"High School"
"400",33333,"Lt High School"
"401",11111,"Lt High School"
"402",41667,"Lt High School"
"404",18519,"Lt High School"
"405",11111,"Lt High School"
"406",25926,"High School"
"407",25926,"High School"
"408",18519,"Lt High School"
"409",3704,"Lt High School"
"410",11111,"Lt High School"
"411",33333,"Graduate"
"412",3704,"Lt High School"
"413",11111,"Lt High School"
"414",33333,"Lt High School"
"415",41667,"High School"
"417",33333,"Lt High School"
"418",33333,"Bachelor"
"421",41667,"Lt High School"
"422",18519,"High School"
"423",60185,"High School"
"424",41667,"Lt High School"
"426",50926,"High School"
"427",41667,"High School"
"428",25926,"Lt High School"
"429",83333,"High School"
"430",18519,"High School"
"431",25926,"Lt High School"
"434",11111,"Lt High School"
"435",3704,"Bachelor"
"436",18519,"High School"
"438",41667,"High School"
"439",25926,"High School"
"440",33333,"Lt High School"
