"","Age"
"1",23
"2",70
"3",48
"4",27
"5",61
"6",26
"7",28
"8",27
"9",21
"10",30
"11",30
"12",56
"13",54
"14",49
"15",41
"16",54
"17",24
"18",62
"19",46
"20",21
"21",57
"22",58
"23",21
"24",26
"25",71
"26",53
"27",42
"28",42
"29",20
"30",23
"31",26
"32",25
"33",26
"34",78
"35",21
"36",27
"37",58
"38",35
"39",58
"40",51
"41",76
"42",53
"43",39
"44",64
"45",50
"46",27
"47",25
"48",49
"49",40
"50",43
"51",46
"52",37
"53",46
"54",22
"55",53
"56",35
"57",31
"58",30
"59",37
"60",57
"61",39
"62",62
"63",51
"64",43
"65",39
"66",52
"67",30
"68",47
"69",31
"70",25
"71",45
"72",30
"73",68
"74",63
"75",19
"76",23
"77",46
"78",55
"79",22
"80",55
"81",44
"82",41
"83",49
"84",28
"85",21
"86",26
"87",31
"88",28
"89",26
"90",20
"91",25
"92",57
"93",58
"94",54
"95",35
"96",40
"97",57
"98",64
"99",34
"100",25
"101",28
"102",41
"103",36
"104",31
"105",45
"106",74
"107",64
"108",23
"109",27
"110",42
"111",47
"112",26
"113",34
"114",52
"115",24
"116",36
"117",25
"118",46
"119",54
"120",27
"121",20
"122",53
"123",47
"124",70
"125",69
"126",49
"127",29
"128",48
"129",67
"130",22
"131",75
"132",38
"133",46
"134",63
"135",34
"136",57
"137",22
"138",46
"139",73
"140",73
"141",53
"142",84
"143",27
"144",69
"145",82
"146",67
"147",41
"148",72
"149",38
"150",59
"151",42
"152",48
"153",59
"154",39
"155",49
"156",33
"157",53
"158",30
"159",25
"160",36
"161",30
"162",28
"163",52
"164",44
"165",50
"166",38
"167",26
"168",28
"169",81
"170",55
"171",76
"172",29
"173",19
"174",76
"175",61
"176",26
"177",39
"178",19
"179",26
"180",21
"181",45
"182",27
"183",76
"184",63
"185",52
"186",65
"187",59
"188",26
"189",41
"190",56
"191",62
"192",29
"193",25
"194",41
"195",21
"196",49
"197",38
"198",50
"199",43
"200",32
"201",55
"202",27
"203",56
"204",48
"205",56
"206",44
"207",25
"208",32
"209",33
"210",48
"211",45
"212",45
"213",72
"214",45
"215",70
"216",31
"217",20
"218",22
"219",63
"220",70
"221",68
"222",43
"223",53
"224",44
"225",37
"226",55
"227",52
"228",64
"230",64
"231",27
"232",28
"233",22
"234",61
"235",82
"236",22
"237",30
"238",29
"239",60
"240",39
"241",21
"242",56
"243",72
"244",61
"245",71
"246",56
"247",71
"248",48
"249",43
"250",61
"251",70
"252",48
"253",34
"254",19
"255",52
"256",30
"257",60
"258",50
"259",47
"260",50
"261",68
"262",50
"263",21
"264",72
"265",52
"266",32
"267",52
"268",60
"269",32
"270",60
"271",80
"272",58
"273",36
"274",31
"275",30
"276",63
"277",34
"278",29
"279",36
"280",39
"281",73
"282",38
"283",55
"284",30
"285",44
"286",43
"287",38
"288",44
"289",75
"290",43
"291",43
"292",27
"293",58
"294",45
"295",31
"296",23
"297",69
"298",35
"299",43
"300",56
"301",36
"302",47
"303",29
"304",60
"305",37
"306",20
"307",55
"308",71
"309",30
"310",59
"311",42
"312",55
"313",24
"314",30
"315",70
"316",43
"317",45
"318",25
"319",37
"320",22
"321",27
"322",28
"323",42
"324",42
"325",30
"326",40
"327",37
"328",24
"329",46
"330",53
"331",64
"332",20
"333",60
"334",33
"335",70
"336",60
"337",26
"338",74
"339",33
"340",23
"341",19
"342",59
"343",70
"344",52
"346",75
"347",49
"348",49
"349",46
"350",45
"351",28
"352",23
"353",64
"354",33
"355",69
"356",72
"357",59
"358",69
"359",58
"360",53
"361",62
"362",58
"363",32
"364",58
"365",70
"366",69
"367",36
"368",47
"369",31
"370",81
"371",24
"372",51
"373",69
"374",30
"375",69
"376",45
"377",24
"378",66
"379",29
"380",57
"381",58
"382",77
"383",30
"384",56
"385",49
"386",52
"387",40
"388",48
"389",47
"390",31
"391",21
"392",84
"393",61
"394",46
"395",39
"396",64
"397",77
"398",25
"399",53
"400",52
"401",71
"402",52
"403",57
"404",69
"405",74
"406",58
"407",23
"408",61
"409",60
"410",36
"411",58
"412",28
"413",29
"414",25
"415",57
"416",26
"417",55
"418",29
"419",68
"420",18
"421",49
"422",64
"423",38
"424",30
"425",56
"426",20
"427",19
"428",50
"429",38
"430",64
"431",74
"432",75
"433",22
"434",75
"435",23
"436",79
"437",60
"438",26
"439",63
"440",63
"441",34
"442",33
"443",53
"444",78
"445",22
"446",32
"447",27
"448",35
"449",39
"450",24
"451",22
"452",28
"453",57
"454",48
"455",26
"456",50
"457",32
"458",56
"459",26
"460",30
"461",83
"462",26
"463",20
"464",41
"465",56
"466",83
"467",27
"468",21
"469",19
"470",41
"471",35
"472",57
"473",42
"474",54
"475",24
"476",62
"477",39
"478",24
"479",66
"480",55
"481",25
"482",61
"483",62
"484",29
"485",27
"486",44
"487",44
"488",34
"489",23
"490",58
"491",24
"492",34
"493",42
"494",32
"495",52
"496",22
"497",35
"498",45
"499",30
"500",35
"501",36
"502",57
"503",28
"504",42
"505",23
"506",53
"507",22
"508",60
"509",56
"510",24
"511",26
"512",55
"513",20
"514",30
"515",26
"516",36
"517",42
"518",28
"519",54
"520",49
"521",30
"522",40
"523",55
"524",74
"525",48
"526",63
"527",72
"528",30
"529",78
"530",44
"531",48
"532",29
"533",21
"534",20
"535",52
"536",40
"537",42
"538",54
"539",43
"540",25
"541",28
"542",43
"543",45
"544",48
"545",36
"546",28
"547",27
"548",52
"549",20
"550",28
"551",38
"552",48
"553",47
"554",59
"555",26
"556",63
"557",80
"558",68
"559",49
"560",21
"561",27
"562",41
"563",31
"564",76
"565",26
"566",73
"567",49
"568",72
"569",53
"570",39
"571",31
"572",52
"573",61
"574",85
"575",54
"576",69
"577",65
"578",41
"579",58
"580",57
"581",55
"582",47
"583",60
"584",53
"585",57
"586",28
"587",48
"588",51
"589",33
"590",47
"591",36
"592",19
"593",26
"594",25
"595",24
"596",22
"597",25
"598",21
"599",29
"600",26
"601",21
"602",53
"603",44
"604",46
"605",46
"606",60
"607",50
"608",37
"609",76
"610",41
"611",24
"612",33
"613",49
"614",22
"615",67
"616",74
"617",37
"618",45
"619",59
"620",65
"621",67
"622",66
"623",28
"624",37
"625",72
"626",22
"627",60
"628",60
"629",35
"630",60
"631",79
"632",45
"633",65
"634",45
"635",65
"636",22
"637",60
"638",38
"639",29
"640",26
"641",81
"642",61
"643",71
"644",26
"645",70
"646",34
"647",48
"648",23
"649",60
"650",33
"651",52
"652",55
"653",21
"654",26
"655",77
"656",69
"657",25
"658",43
"659",77
"660",65
"661",31
"662",65
"663",58
"664",63
"665",74
"666",20
"667",42
"668",20
"669",53
"670",40
"671",53
"672",35
"673",20
"674",69
"675",60
"676",45
"677",43
"678",72
"679",28
"680",35
"681",43
"682",51
"683",45
"684",65
"685",48
"686",47
"687",30
"688",45
"689",20
"690",29
"691",54
"692",22
"693",48
"694",32
"695",45
"696",46
"697",60
"698",60
"699",76
"700",31
"701",45
"702",20
"703",36
"704",56
"705",22
"706",29
"707",45
"708",44
"709",45
"710",49
"711",82
"712",33
"713",43
"714",38
"715",51
"716",26
"717",19
"718",33
"719",57
"720",46
"721",46
"722",80
"723",55
"724",29
"725",29
"726",82
"727",66
"728",68
"729",47
"730",44
"731",29
"732",53
"733",49
"734",25
"735",31
"736",29
"737",21
"738",25
"739",25
"740",21
"741",27
"742",41
"743",58
"744",46
"745",30
"746",81
"747",21
"748",31
"749",49
"750",64
"751",75
"752",30
"753",19
"754",59
"755",71
"756",73
"757",19
"758",54
"759",56
"760",54
"761",32
"762",63
"763",48
"764",22
"765",70
"766",64
"767",23
"768",59
"769",43
"770",59
"771",21
"772",33
"773",47
"774",40
"775",26
"776",56
"777",35
"778",78
"779",83
"780",54
"781",34
"782",33
"783",28
"784",70
"785",49
"786",23
"787",47
"788",57
"789",25
"790",60
"791",24
"792",33
"793",25
"794",21
"795",43
"796",53
"797",43
"798",49
"799",36
"800",32
"801",34
"802",78
"803",73
"804",73
"805",70
"806",27
"807",82
"808",22
"809",67
"810",51
"811",54
"812",49
"813",36
"814",45
"815",35
"816",42
"817",56
"818",54
"819",52
"820",30
"821",38
"822",24
"823",42
"824",45
"825",47
"826",36
"827",45
"828",42
"829",22
"830",31
"831",28
"832",30
"833",26
"834",26
"835",39
"836",21
"837",19
"838",61
"839",65
"840",74
"841",61
"842",64
"843",24
"844",45
"845",27
"846",32
"847",48
"848",29
"849",29
"850",23
"851",85
"852",32
"853",67
"854",53
"855",28
"856",27
"857",19
"858",34
"859",47
"860",36
"861",38
"862",55
"863",38
"864",32
"865",76
"866",20
"867",63
"868",55
"869",48
"870",56
"871",46
"872",65
"873",34
"874",74
"875",28
"876",36
"877",52
"878",33
"879",64
"880",29
"881",33
"882",18
"883",65
"884",23
"885",41
"886",49
"887",50
"888",24
"889",65
"890",21
"891",52
"892",71
"893",79
"894",74
"895",74
"896",29
"897",31
"898",35
"899",53
"900",41
"901",26
"902",51
"903",56
"904",19
"905",25
"906",69
"907",72
"908",56
"909",53
"910",60
"911",64
"912",51
"913",68
"914",27
"915",54
"916",33
"917",40
"918",26
"919",84
"920",34
"921",59
"922",53
"923",29
"924",75
"925",73
"926",63
"927",34
"928",51
"929",43
"930",45
"931",34
"932",58
"933",59
"934",35
"935",56
"936",29
"937",30
"938",52
"939",44
"940",59
"941",63
"942",35
"943",26
"944",50
"945",42
"946",24
"947",64
"948",30
"949",34
"950",64
"951",27
"952",23
"953",21
"954",30
"955",19
"956",51
"957",78
"958",64
"959",73
"960",88
"961",38
"962",67
"963",77
"964",61
"965",62
"966",72
"967",60
"968",23
"969",41
"970",40
"971",25
"972",77
"973",25
"974",21
"975",52
"976",22
"977",23
"978",31
"979",36
"980",32
"981",50
"982",77
"983",88
"984",32
"985",22
"986",55
"987",67
"988",75
"989",45
"990",57
"991",56
"992",30
"993",26
"994",19
"995",64
"996",62
"997",68
"998",63
"999",48
"1000",28
"1001",75
"1002",23
"1003",72
"1004",39
"1005",30
"1006",29
"1007",33
"1008",43
"1009",51
"1010",27
"1011",49
"1012",56
"1013",49
"1014",50
"1015",39
"1016",43
"1017",20
"1018",34
"1019",75
"1020",53
"1021",29
"1022",55
"1023",29
"1024",51
"1025",45
"1026",50
"1027",50
"1028",33
"1029",29
"1030",23
"1031",67
"1032",26
"1033",36
"1034",30
"1035",48
"1036",46
"1037",59
"1038",61
"1040",23
"1041",21
"1042",32
"1043",68
"1044",21
