Factor,Family_Income
4,25926
0,33333
1,33333
4,41667
1,69444
1,60185
1,50926
4,18519
1,3704
1,25926
1,18519
0,18519
0,18519
0,18519
0,25926
1,18519
1,33333
0,25926
4,60185
1,69444
1,50926
1,83333
1,18519
1,25926
4,41667
1,41667
1,41667
1,41667
0,41667
0,33333
1,33333
4,41667
0,3704
1,18519
1,41667
1,69444
0,41667
0,25926
1,18519
0,3704
1,41667
0,18519
0,25926
0,101852
1,83333
1,25926
0,41667
0,83333
0,18519
1,41667
0,25926
1,41667
0,60185
1,50926
1,83333
1,50926
1,50926
0,83333
1,18519
0,18519
1,18519
0,18519
1,41667
0,33333
1,41667
1,41667
4,25926
1,33333
0,11111
0,33333
1,60185
4,50926
0,60185
0,33333
1,101852
1,41667
1,60185
1,60185
1,11111
4,41667
3,25926
3,18519
4,25926
1,3704
4,41667
1,41667
1,50926
1,50926
4,41667
1,60185
1,101852
1,33333
1,60185
1,41667
0,33333
1,25926
1,11111
1,83333
1,60185
0,11111
1,25926
1,11111
4,11111
1,3704
0,18519
1,3704
0,11111
0,33333
1,41667
1,3704
0,11111
0,11111
0,18519
1,11111
0,11111
0,33333
0,18519
0,18519
0,69444
0,50926
0,25926
1,50926
0,25926
1,69444
1,83333
0,25926
0,41667
0,41667
1,33333
0,25926
0,18519
1,3704
1,41667
1,3704
1,33333
0,11111
0,3704
4,18519
1,18519
0,3704
0,25926
1,41667
1,83333
1,41667
0,18519
0,33333
1,11111
1,41667
0,18519
1,33333
1,33333
0,18519
1,50926
0,18519
0,60185
0,41667
3,33333
4,50926
4,18519
1,25926
1,25926
1,41667
0,33333
1,60185
0,3704
0,18519
3,41667
4,50926
1,25926
0,25926
4,11111
1,11111
0,25926
1,11111
0,3704
0,18519
0,25926
0,18519
0,18519
1,130356
4,130356
3,130356
1,69444
3,69444
4,83333
1,69444
1,41667
0,60185
1,60185
1,41667
1,33333
1,18519
2,41667
1,60185
0,101852
0,33333
0,25926
0,11111
0,41667
1,101852
0,41667
1,33333
0,33333
0,11111
0,11111
1,33333
1,11111
0,3704
0,11111
0,11111
0,18519
3,83333
1,50926
1,83333
0,83333
1,60185
0,25926
4,33333
1,41667
1,3704
1,50926
1,18519
1,3704
0,50926
1,25926
0,18519
0,3704
0,3704
0,3704
0,18519
3,130356
0,11111
1,83333
1,60185
1,18519
1,25926
0,41667
1,33333
1,25926
1,60185
1,41667
4,69444
1,41667
0,25926
0,3704
1,33333
0,3704
1,18519
1,41667
1,41667
1,18519
0,33333
0,3704
0,50926
1,41667
1,50926
4,69444
1,101852
1,60185
1,41667
0,33333
1,25926
0,18519
0,33333
1,50926
1,83333
1,11111
0,41667
0,41667
1,25926
0,3704
3,69444
0,33333
1,33333
0,41667
1,50926
1,41667
1,25926
0,11111
1,11111
1,11111
1,33333
1,33333
0,33333
1,18519
0,33333
0,3704
1,18519
0,11111
1,33333
1,11111
1,11111
0,11111
0,41667
4,33333
0,11111
1,69444
0,50926
3,69444
1,69444
0,11111
1,69444
1,69444
3,69444
4,83333
1,50926
1,50926
1,25926
1,50926
0,33333
4,50926
4,25926
0,50926
0,41667
0,11111
0,69444
0,3704
0,18519
0,18519
0,11111
0,25926
0,3704
0,3704
0,41667
0,41667
1,18519
4,25926
1,33333
1,60185
1,18519
0,18519
0,18519
0,18519
0,11111
0,18519
0,11111
0,11111
0,11111
1,18519
1,18519
1,3704
0,18519
0,33333
0,11111
0,50926
0,3704
1,41667
1,41667
0,3704
1,33333
0,11111
0,41667
1,33333
1,33333
0,50926
0,25926
3,69444
1,18519
1,33333
0,41667
1,60185
0,69444
1,50926
1,3704
0,3704
0,3704
1,3704
4,18519
0,3704
0,3704
1,11111
0,33333
0,11111
0,41667
0,18519
0,11111
1,25926
1,25926
0,18519
0,3704
0,11111
3,33333
0,3704
0,11111
0,33333
1,41667
0,33333
4,33333
0,41667
1,18519
1,60185
0,41667
1,50926
1,41667
0,25926
1,83333
1,18519
0,25926
0,11111
4,3704
1,18519
1,41667
1,25926
0,33333
1,60185
0,11111
1,60185
1,130356
0,25926
0,83333
1,50926
1,41667
1,41667
2,25926
1,83333
1,41667
1,41667
1,41667
1,18519
0,25926
1,41667
0,60185
1,11111
0,11111
1,3704
0,41667
0,25926
0,3704
0,41667
1,18519
1,33333
0,18519
1,18519
0,18519
1,3704
0,3704
1,33333
1,50926
1,50926
1,11111
0,3704
3,60185
4,60185
1,41667
1,33333
1,25926
0,25926
1,33333
4,41667
0,83333
1,50926
1,25926
1,11111
0,11111
1,25926
0,3704
0,3704
0,41667
0,33333
4,41667
4,83333
1,25926
1,50926
1,33333
1,33333
1,41667
1,25926
1,33333
1,25926
1,50926
1,33333
0,60185
4,33333
1,60185
1,41667
1,41667
4,60185
1,50926
0,11111
0,25926
1,11111
0,11111
